# BEAST v1.8.4
# Generated Mon Sep 13 16:57:42 JST 2021 [seed=1631519848854]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-46768.79116990804	-7486.4116045870105	-39282.37956532103	435.64188511815337	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-39282.37956532103	0.0	-3696.0488956126856
10000	-11362.484746680773	-2471.2019946309256	-8891.282752049847	108.35803865450865	7.372203676749637	19.866395729263548	46.44941203570668	38.16011350849339	90.07539527817579	27.788124159655965	37.18252733178695	54.03907455025342	5.967539729206055	14.937911512152363	3.0	1.0	2.0	9.0	5.0	1.0	1.0	1.0	3.0	2.0	14.069321533483865	28.083563164369078	0.2722311105661298	0.2639762382915479	0.2309796754383287	0.23281297570399348	0.15728637453835137	0.001967398246208556	0.0019673982462085557	-8891.282752049847	0.0	-117.24508834522968
20000	-11353.901486561897	-2469.7795135704127	-8884.121972991485	111.91918558737905	3.722312630619507	6.567039107087554	13.787919755943422	22.074114200382688	23.894468938971674	54.86473878045574	22.03580220715966	64.97522406489892	16.238899735928047	18.21475464308374	2.0	2.0	1.0	1.0	3.0	9.0	3.0	2.0	3.0	2.0	12.937268678085971	29.948092346088483	0.27541711506146743	0.2654545960602575	0.24615650677864304	0.212971782099632	0.1860303233701713	0.001865971120271502	0.0018659711202715014	-8884.121972991485	0.0	-120.39535617194049
30000	-11365.724860662396	-2474.2108354518928	-8891.514025210503	116.08062921544568	5.414995142286645	16.961038465043874	5.915802479500994	14.555150298243824	33.47987851638695	58.983333004411506	100.34931975415405	232.43391968107716	11.153422364745659	13.991367908372853	3.0	2.0	1.0	2.0	3.0	10.0	1.0	1.0	3.0	2.0	13.728747626566356	27.32234341360857	0.2734617741363686	0.25486444124074215	0.23983716131531793	0.23183662330757132	0.15430036561953112	0.0015842423092463438	0.001584242309246344	-8891.514025210503	0.0	-120.18465140936304
40000	-11366.659054343465	-2478.884075605281	-8887.774978738184	120.12095080049161	1.0524937724923025	4.278722492488235	4.365100994341904	7.957480379043452	36.99863977024211	85.79363803768697	143.53483416309507	39.36771150057284	88.63963048752039	16.095366797447877	1.0	1.0	3.0	2.0	2.0	2.0	7.0	4.0	1.0	5.0	16.104890046560378	29.30436597662201	0.2818086478721647	0.26813356370737235	0.22695036397373294	0.22310742444673015	0.17790806648935573	0.0016281080993575069	0.001628108099357507	-8887.774978738184	0.0	-125.761680119212
50000	-11353.085652829262	-2472.7374854499067	-8880.348167379356	114.39261261022567	14.531940395603202	4.495782265829416	15.015775415252008	7.319342814603227	20.39574751481671	20.475785631468572	60.55868748565718	22.65495986205992	65.43350454005834	14.822954687800776	1.0	2.0	1.0	3.0	2.0	1.0	10.0	2.0	1.0	5.0	16.836278360452912	26.116953047122156	0.2516077474185478	0.279361718691145	0.24118193536405091	0.2278485985262567	0.1792743976192672	0.0018461594618554972	0.0018461594618554968	-8880.348167379356	0.0	-120.8298819962695
60000	-11358.071530374595	-2468.480266956791	-8889.591263417804	101.37853160631278	1.2573125408469195	1.8018034581447047	8.78730749607358	6.335677242976273	28.97132930808779	39.541219480224264	47.037153304747385	56.96623224492486	65.08890244670714	9.06760452710089	1.0	1.0	2.0	1.0	2.0	6.0	1.0	2.0	7.0	5.0	13.11445984705681	25.665181484147226	0.28430107107892955	0.24801488388594745	0.25549705669307643	0.21218698834204694	0.17495786328937976	0.001898337523559395	0.0018983375235593952	-8889.591263417804	0.0	-119.6731787223333
70000	-11360.179553105037	-2478.711382718915	-8881.468170386122	117.61724152346456	1.4073162876872347	2.424869302140642	9.288304930584834	41.249930486774545	42.238919092291844	25.483900412149158	30.396633308342924	78.03946154055747	44.57961331838567	11.48914432843496	1.0	1.0	1.0	1.0	2.0	2.0	1.0	9.0	6.0	4.0	11.689121061266098	23.908911470390652	0.27549394713227027	0.2544664354302686	0.24515288998016374	0.22488672745729776	0.16953336627194032	0.0017118262412230403	0.0017118262412230399	-8881.468170386122	0.0	-128.96068768240303
80000	-11356.033923108791	-2476.231340503926	-8879.802582604865	114.1354901948687	1.6620309366032122	4.445571316950579	10.897107204605952	14.395469294061744	25.657725084956386	40.965211508279474	90.91194521319157	88.50733304059634	31.373241790456525	46.78294292205376	2.0	1.0	1.0	3.0	2.0	2.0	6.0	2.0	1.0	8.0	15.173418049913092	27.380905359344872	0.27512606962091884	0.26835197401756933	0.22954842838842016	0.22697352797309203	0.18017751557294293	0.0019197257279692133	0.0019197257279692144	-8879.802582604865	0.0	-125.93075758793366
90000	-11368.249704467607	-2480.078355972722	-8888.171348494885	107.28193723083636	2.3979932966141835	12.786056067326173	25.944848837078343	45.309306461138405	51.90236499083868	94.82444973459693	9.315853213344235	61.524069507157535	54.89911874470721	15.823695978107366	2.0	1.0	2.0	3.0	7.0	3.0	4.0	3.0	1.0	2.0	15.268730945314205	27.397677931901605	0.2782661544859303	0.26312985884579543	0.2449935040480195	0.21361048262025498	0.1847461102811782	0.0018008447084398732	0.001800844708439873	-8888.171348494885	0.0	-121.47673090888958
