# BEAST v1.8.4
# Generated Mon Sep 13 16:59:13 JST 2021 [seed=1631519942828]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-22093.727183810108	-3529.245702132855	-18564.481481677252	79.01119420822997	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-18564.481481677252	0.0	-838.6555720563083
10000	-6782.958791043102	-2340.1280825354784	-4442.830708507624	46.336253677424565	1.9168224182091478	1.327385032272814	0.8091420303164282	2.364946473992185	2.0098834441131403	1.4717961628788596	1.4039098217739596	1.0922482997356626	1.456071424795668	1.4509892217567102	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	8.040478062637394	20.679164528466274	0.27253170688196904	0.257016412181038	0.2334269728537373	0.2370249080832555	0.135848838732645	0.0035367131914062163	0.0035367131914062163	-4442.830708507624	0.0	-18.9969987727021
20000	-6789.042216003036	-2340.673488404003	-4448.368727599032	46.010191809802016	0.29506722152116466	1.0143020794281457	0.9750088662737625	1.7847287882957146	1.264305772278904	3.2554740182160993	2.2515945335556067	2.1979583148228015	3.32127785667173	5.045663706433036	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	8.902233121970708	14.392407848907526	0.28273905743444333	0.2474605048485453	0.21940314653588996	0.2503972911811213	0.22432731506894643	0.003270362116237977	0.0032703621162379773	-4448.368727599032	0.0	-17.484322699111456
30000	-6783.156719757422	-2338.2017754014155	-4444.954944356006	46.098280662334304	0.28202901270144615	0.4079203545388466	1.354940542351121	6.0645488529698035	3.9546080654747624	3.3302454824678187	1.4766006297422554	0.8280134093763365	2.0175272994640605	4.496378545001107	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	7.123669016877797	18.372204548672585	0.26829915487811157	0.2555822074619628	0.23333913103715748	0.24277950662276798	0.24520690780019588	0.004017814021677385	0.0040178140216773845	-4444.954944356006	0.0	-12.64305439849795
40000	-6794.752972127133	-2351.555628621133	-4443.197343506	59.05819213527968	0.710904919048642	0.8573733467165866	1.593693197838909	3.6273251512512212	10.96903960658244	4.545121680829159	0.5968326915799544	1.3565781113777815	1.831639205866995	3.4615354498018975	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	9.54207256156676	26.86586270069329	0.25341446139288465	0.2707464287034588	0.24995119534843016	0.22588791455522628	0.18145162437338816	0.002580527004863308	0.0025805270048633085	-4443.197343506	0.0	-24.08488665286884
50000	-6783.595107884865	-2341.8795594523604	-4441.715548432505	43.713898112065856	1.7719824207274415	0.9256997696377671	0.8598532796400136	2.007267798558045	2.5875659481176267	2.422003385966551	3.8543928818707127	1.343905784113327	0.7407447301546842	2.2383356782787867	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	11.808720235679223	23.96935179025384	0.27119820748319146	0.25881229309227727	0.23731456529722747	0.23267493412730372	0.19011605092595818	0.003778910468806329	0.003778910468806329	-4441.715548432505	0.0	-17.20285912034536
60000	-6779.645827956351	-2335.308393025287	-4444.337434931064	51.08259322244323	0.3403159343472908	0.3369384551730818	0.43117307709046493	0.33253208196683565	1.5581435245298876	1.6278711901262777	0.9620560993637898	1.5695193248960253	2.2064971907702438	4.4338866245157895	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	10.421481619190557	16.26567705889269	0.24579709890542425	0.2672171459945511	0.2486743690015643	0.23831138609846003	0.1906181905041817	0.0029867098207859363	0.002986709820785936	-4444.337434931064	0.0	-16.93848740072465
70000	-6786.1076677952115	-2344.8944545094587	-4441.213213285752	47.34964071543351	1.090505894312271	0.4434650265420654	1.1063373003433685	2.5949251619269837	2.034640787822589	3.8511914434282617	2.1386118964390466	1.597269862812817	3.8077185202403907	8.565421928304236	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	11.673050508999895	20.543389117650094	0.2677114510022041	0.26292153534921386	0.24068984083866235	0.22867717280991912	0.19562339827551006	0.003673959419018154	0.003673959419018154	-4441.213213285752	0.0	-18.06315876911483
80000	-6786.078253462378	-2343.526068535853	-4442.552184926524	45.63019376681312	1.3639092826223438	0.9485165562801934	0.5444319575372755	0.9886143780226083	1.1038621739696437	1.0997515226154237	2.0272947258849716	1.751010691725642	2.9525416649814975	6.948661606165103	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	15.597984435583433	23.471937192913465	0.26598618913925626	0.2646731735043055	0.218453206844866	0.25088743051157175	0.16516369452298893	0.003433761842248721	0.0034337618422487213	-4442.552184926524	0.0	-20.359316902888935
90000	-6776.2564215237	-2327.8369268708643	-4448.419494652836	38.513490395996335	0.18798782395810307	0.2035178036854079	0.4764473624397756	0.4544065215278766	1.6727861745190216	0.7639478395963043	2.25233838375135	3.11663838331001	0.3082595948827421	0.29939011988112946	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	12.527877810903076	22.492718732015806	0.27288363650387115	0.24449496581192176	0.24447094644695072	0.2381504512372556	0.24899786627570972	0.004261850499902502	0.004261850499902502	-4448.419494652836	0.0	-10.782601968488823
