#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:sav GI.1.tree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:sav GI.1.tree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:sav GI.1.tree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:sav GI.1.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sav GI.1.tree">
#                    <trait id="dateTrait.t:sav GI.1.tree" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="AB436383.1_Sapovirus_Nagano18-4_JPN_GI.1_2004=2004,X86560/Manchester/GI.1_1995=1995,Tokyo/08/3992/AB622439.1_GI.1_2008=2008,Tokyo/08-3677/AB622437_GI.1_2008=2008,Tokyo/08-2932/AB622436_GI.1_2008=2008,Tokyo/08-1337/AB622432_GI.1_2008=2008,Sapporo/MT-2010/HM0026171982_GI.1_2010=2010,Nagano18-9/Jun2004_AB436384_GI.1_2004=2004,Maizuru/2008_HM030921.1_GI.1_2008=2008,Maizuru/2008/_HM030922__GI.1_2008=2008,Lyon/30388/98/F_AJ251991__GI.1_1998=1998,HM030920.1_Maizuru/GI.1_2008=2008,U95643_Houston_USA_GI.1_1986=1986,HM002617_Sapporo_GI.1_1982=1982,AY646853_NongKhai_50_Thailand_GI.1_2002=2002,AY237423_N21_Thailand_GI.1_2002=2002,Ehime_742S/AB448762_GI.1_2007=2007,AY237422_Mc114_GI.1_2001=2001,Chiba/010250/2001_AJ606695_GI.1_2001=2001,sapo_U65427_GI.1_1996=1996,MG012439.1_Sapovirus_PE_Lima1863_GI.1_2016=2016,MG012438.1_Sapovirus_Nashville9478_GI.1_2014=2014,MG012437.1_Sapovirus_Nashville9432_GI.1_2014=2014,MG012436.1_Sapovirus_Lima1870_GI.1_2016=2016,KX980412.1_Sapoviru_GI/Hunan/CHN_GI.1_2016=2016,AY646854.2_Chanthaburi-74_Thailand_GI.1_2002=2002,KT327081.1_Sapovirus_Zhejiang1/CHN_GI.1_2014=2014,KP298674.1_Sapovirus/Seoul/ROK62_KOR_GI.1_2013=2013,MG012400.1_Sapovirus_US/Nashville9491_GI.1_2014=2014,MG012399.2_Sapovirus_US/Portland3639_GI.1_2014=2014,MG012398.1_Sapovirus_PE/Lima1845_GI.1_2014=2014,MG012397.1_Sapovirus_US_Nashville9427_GI.1_2014=2014,MG012435.1_Sapovirus_US_Nashville9691-1_GI.1_2013=2013,19_peru_SP088X_GI.1_2017=2017,22_peru_SP088X_GI.1_2017=2017,25_peru_SP265X_GI.2_2018=2018,26_peru_SP088X_GI.1_2017=2017,28_peru_SP088X_GI.1_2017=2017,30_peru_SP088X_GI.1_2017=2017,1_peru_SP031X_GI.1_2017=2017,2_peru_SP031X_GI.1_2017=2017,3_peru_SP031X_GI.1_2017=2017,5_peru_SP031X_GI.1_2017=2017,9_peru_SP0051X_GI.1_2017=2017,11_peru_SP051X_GI.1_2017=2017,s64_02_miyagi_outbr_GI.1_2013K9_2013=2013,s65_03_miyagi_outbr_GI.1_2013K9_2013=2013,s90_5_miyagi_outbr_GI.1_2015K4_2015=2015,s84_11_miyagi_outbr_GI.1_2016K111_2016=2016,s82_09_miyagi_outbr_GI.1_2016K111_2016=2016,s93_08_miyagi_outbr_GI.1_2015K4_2015=2015,s92_07_miyagi_outbr_GI.1_2015K4_2015=2015,s91_06_miyagi_outbr_GI.1_2015K4_2015=2015">
#                        <taxa id="TaxonSet.sav GI1" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sav GI1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:sav GI.1.clock" name="distribution">
#            <parameter id="clockRate.c:sav GI.1.clock" name="x">1.0E-4</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:sav GI.1.tree" name="distribution" x="@popSize.t:sav GI.1.tree">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sav GI1" id="treeLikelihood.sav GI1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sav GI.1.tree">
#            <siteModel id="SiteModel.s:sav GI.1.mode" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:sav GI.1.mode" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sav GI.1.mode" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sav GI.1.mode" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:sav GI.1.mode" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sav GI.1.clock" id="StrictClock.c:sav GI.1.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	popSize	CoalescentConstant
0	-3031.859091682446	-2909.338020520061	-122.52107116238486	-2909.338020520061	36.73881158874597	1.0E-4	1.0	0.3	-123.7250439667108
10000	-2271.014044774816	-2130.051976151516	-140.96206862329979	-2130.051976151516	39.77176930444354	7.940011411890236E-4	1.0	4.577191989535614	-139.4409829159195
20000	-2273.209849294762	-2112.8575049928613	-160.35234430190073	-2112.8575049928613	41.27076717518179	7.088636108580329E-4	1.0	7.803737217799992	-158.29774155246437
30000	-2256.072385782682	-2106.510134505354	-149.56225127732802	-2106.510134505354	41.64863435792781	6.408477396903127E-4	1.0	3.644072879061264	-148.2691492983879
40000	-2263.084885587153	-2102.9110726785516	-160.17381290860158	-2102.9110726785516	41.7149526024622	6.058755027761048E-4	1.0	9.54625489540627	-157.9176639885719
50000	-2285.9731589050293	-2079.8296125532042	-206.14354635182488	-2079.8296125532042	50.32315988566303	3.211675931057093E-4	1.0	14.933465033273183	-203.43994168191853
60000	-2264.398623866014	-2083.079584804716	-181.31903906129793	-2083.079584804716	42.71005043446178	4.918858630661145E-4	1.0	10.292446039894443	-178.98762882931243
70000	-2269.031803752431	-2099.938545810794	-169.09325794163723	-2099.938545810794	40.14007974887222	5.200817380395395E-4	1.0	8.896582353637218	-166.90759074385733
80000	-2277.747429779606	-2094.6856799563348	-183.06174982327158	-2094.6856799563348	49.63621605375952	3.2938660322084766E-4	1.0	9.333729894010515	-180.82811511402312
90000	-2291.3301012896654	-2097.1495419179414	-194.18055937172392	-2097.1495419179414	47.57770766432929	3.1542578671161955E-4	1.0	15.295563948753236	-191.45299652335567
100000	-2283.0650766063995	-2082.9754172788057	-200.08965932759378	-2082.9754172788057	43.1153550522593	3.1797954458228766E-4	1.0	16.0121878004737	-197.31630915779917
110000	-2269.9611574289006	-2091.1560939650362	-178.80506346386423	-2091.1560939650362	43.32452015835832	4.88083024316983E-4	1.0	10.46024916090338	-176.4574811851571
120000	-2282.625578859567	-2080.9136727617397	-201.71190609782775	-2080.9136727617397	43.83169452100271	3.0888864905609224E-4	1.0	15.845012287460642	-198.94905132920644
130000	-2299.225296831517	-2083.170423603731	-216.05487322778617	-2083.170423603731	51.06946992021079	2.3748263520590506E-4	1.0	24.95793737265985	-212.8376813250129
140000	-2289.8783283764205	-2084.1752465079444	-205.7030818684762	-2084.1752465079444	47.05846224611775	3.9587228928300306E-4	1.0	16.899569300026716	-202.87579373207745
150000	-2286.5095084656577	-2083.9912713617505	-202.5182371039071	-2083.9912713617505	46.92476043722464	3.380612650374649E-4	1.0	13.958875957665333	-199.88212152860658
160000	-2291.4850663621287	-2086.4790023717424	-205.00606399038614	-2086.4790023717424	44.45837483878959	4.7423156894033563E-4	1.0	13.98203301638146	-202.36829084095015
170000	-2294.096045728396	-2085.6018566980465	-208.4941890303496	-2085.6018566980465	43.952372943005784	3.20574108899959E-4	1.0	14.614043139835236	-205.81220610503232
180000	-2290.0038770609995	-2083.5767290226336	-206.4271480383659	-2083.5767290226336	46.754524203765996	3.07821662979473E-4	1.0	21.542771411463534	-203.35710771142925
190000	-2295.6901611404014	-2084.677592259699	-211.01256888070264	-2084.677592259699	46.910572128241924	3.488315243043125E-4	1.0	21.993939618318283	-207.9218019371883
200000	-2306.964502885076	-2084.6923698382616	-222.27213304681433	-2084.6923698382616	48.89623688174272	3.043537024633346E-4	1.0	24.14033372186782	-219.08824900680523
210000	-2283.5919977597387	-2087.51289081082	-196.07910694891876	-2087.51289081082	47.456911856017335	3.748227590334593E-4	1.0	13.123857513918045	-193.50467519078848
220000	-2272.632682539824	-2084.83074949677	-187.8019330430543	-2084.83074949677	44.232768238444024	4.03063637891079E-4	1.0	10.645074981110579	-185.43683570094686
230000	-2277.0554371375956	-2089.836564272785	-187.2188728648107	-2089.836564272785	40.75074087960472	4.302645117263457E-4	1.0	14.030151219308316	-184.57766419247156
240000	-2294.003209505636	-2092.5824259207084	-201.42078358492722	-2092.5824259207084	44.64666903464935	3.0701169167271877E-4	1.0	16.427582841508578	-198.62182178229455
250000	-2288.3823697392936	-2086.915915955184	-201.4664537841095	-2086.915915955184	42.37026125271499	3.17578575045026E-4	1.0	14.917692554352682	-198.7639058558281
260000	-2289.562891973079	-2082.6530370091696	-206.90985496390942	-2082.6530370091696	51.4177442590495	2.850236909772992E-4	1.0	18.515914580580286	-203.9912243540271
270000	-2275.3253469803094	-2088.10161387728	-187.22373310302913	-2088.10161387728	39.56414811380935	3.2326873728115484E-4	1.0	12.172240993747463	-184.72457507216416
280000	-2275.5098361879914	-2082.6848474298854	-192.8249887581059	-2082.6848474298854	41.27983972401102	3.1127898013820417E-4	1.0	13.7064865681647	-190.20711956519557
290000	-2289.84437008477	-2087.5825404232028	-202.2618296615675	-2087.5825404232028	45.977225128941804	3.509547128154717E-4	1.0	19.015636865857015	-199.3165680279342
300000	-2278.711345688501	-2081.3989896099706	-197.31235607853026	-2081.3989896099706	42.75659959729213	3.8145842124202075E-4	1.0	13.603782774997118	-194.70200817924308
310000	-2298.9871894310677	-2088.812455797601	-210.17473363346647	-2088.812455797601	49.58118315509403	3.3458046687151043E-4	1.0	18.53119103013081	-207.2552783194587
320000	-2285.369509595535	-2080.1982271700267	-205.1712824255082	-2080.1982271700267	42.91537915863331	4.260139230398697E-4	1.0	16.820420673949734	-202.3486887609343
