#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:sav GI.2.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:sav GI.2.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sav GI.2.tree">
#                    <trait id="dateTrait.t:sav GI.2.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="FJ844411.5_GI.2/Kecskemet/HUN3739_HUN_2008=2008,SaV/9-5/Taipei/07/TW_EU124657.1_GI.2_2007=2007,Potsdam/2000-AF294739._GI.2_2000=2000,Parkville_U73124.1_GI.2_1997=1997,Nobeoka-1-3-day6/2005_AB455800.1_GI.2_2005=2005,Nobeoka-1-3-day28/2005_AB455802_GI.2_2005=2005,Nobeoka-1-3-day14/2005_AB455801.1_GI.2_2005=2005,Nobeoka-1-2-day25/2005_AB455799_GI.2_2005=2005,Nobeoka-1-2-day15/2005__AB455798.1_GI.2_2005=2005,Nobeoka-1-1-day3/2005_AB455796.1_GI.2_2005=2005,Nobeoka-1-1-day11/2005_AB455797.1_GI.2_2005=2005,Miyagi/GeO38/2009_AB630340_GI.2_2009=2009,Houston/90_U95644.1_GI.2_1990=1990,AF294739_Potsdam_germany_GI.2_2000=2000,AB614356_BR_DF01_BRA_GI.2_2009=2009,Chiba/041413/2004_AB258427.1_GI.2_2004=2004,MK250983/BRA/2015/GI.2/TO-65_2015=2015,MK250985_BRA/TO-66_2015=2015,MK250987_Hu/BRA/GI.2/TO-89_2014=2014,MK250988_Hu/BRA/GI.2/TO-90_2015=2015,MK250986_Hu/BRA/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/GI.2/TO-31_2014=2014,MG012442.1_SapovirusUS/Oakland3023_GI.2_2016=2016,Aichi/2010_AB607855.1_GI.2_2010=2010,MG012441.1_Sapovirus/Oakland6371_GI.2_2016=2016,MG012440.1_Sapovirus_Nashville9411_GI.2_2015=2015,KM092508.1_isolate_13-SaV-2-3_GI.2_2013=2013,KM092507.1_isolate_13-SaV-2-2_GI.2_2013=2013,KM092506.1_Sapovirus_isolate_13-SaV-1-2_GI.2_2013=2013,JX993277.1_Sapovirus_G1/BE-HPI01/DE_GI.2_2012=2012,LC081178.1_Sapovirus_OH13068_GI.2_2013=2013,LC081170.1_Sapovirus_OH13033_GI.2_2013=2013,LC081169.1_Sapovirus_OH13028_JPN_GI.2_2013=2013,LC081166.1_Sapovirus_OH13019_JPN_GI.2_2013=2013,LC081164.1_Sapovirus_OH13013_JPN_GI.2_2013=2013,LC081162.1_Sapovirus_OH12095_JPN_GI.2_2012=2012,LC081155.1_Sapovirus/OH12009_GI.2_2012=2012,MG132178.1/Shenzhen-23_CHN_GI.2_2016=2016,MG132174.1_/Shenzhen-4_CHN_GI.2_2016=2016,MG515479.1_Shenzhen-22_CHN_GI.2_2016=2016,MG515478.1_Shenzhen-10_CHN_GI.2_2016=2016,MG515477.1_Sapovirus_Shenzhen-5_CHN_GI.2_2016=2016,MG515476.1_Sapovirus/Shenzhen-2_CHN_GI.2_2016=2016,23_peru_SP265X_GI.2_2018=2018,18_peru_SP223X_GI.2_2018=2018,17_peru_SP223X_GI.2_2018=2018,16_peru_SP223X_GI.2_2018=2018,15_peru_SP223X_GI.2_2018=2018,14_peru_SP223X_GI.2_2018=2018,s67_22_miyagi_outbr_GI.2_2013k4_2013=2013,s66_21_miyagi_outbr_GI.2_2013k4_2013=2013,s70_25_miyagi_outbr_GI.2_2013k4_2013=2013,s69_24_miyagi_outbr_GI.2_2013k4_2013=2013,s68_23_miyagi_outbr_GI.2_2013k4_2013=2013,SN091X_TG22010_phil_batch7_2018=2018,SN091X_TG21997_phil_batch7_2018=2018,SN091X_TG21995_phil_batch7_2018=2018">
#                        <taxa id="TaxonSet.sav GI" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sav GI"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:sav GI.2.tree" jeffreys="true" parameter="@bPopSizes.t:sav GI.2.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:sav GI.2.clock" name="distribution">
#            <parameter id="clockRate.c:sav GI.2.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sav GI" id="treeLikelihood.sav GI" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sav GI.2.tree">
#            <siteModel id="SiteModel.s:sav GI.1.mod" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sav GI.1.mod" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sav GI.1.mod" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sav GI.1.mod" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:sav GI.1.mod" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sav GI.2.clock" id="StrictClock.c:sav GI.2.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-27331.53742937438	-26965.03707163537	-366.50035773901374	-26965.03707163537	28.924665393419463	1.0	-332.7995014754116	380.0	380.0	380.0	380.0	380.0	12	11	11	11	11
10000	-2803.694072946371	-2713.145844745557	-90.54822820081372	-2713.145844745557	28.219117932526807	0.0034170318788310406	-84.3312161633737	1.5988185740890266	3.032006830831955	1.5148039839600738	0.2354823826477054	0.6237051188774678	6	11	28	8	3
20000	-2798.0195155871943	-2671.215553651353	-126.80396193584158	-2671.215553651353	28.226419474722032	0.0023797827784115696	-118.08929946117874	1.7778573653291785	4.273925862828271	3.2133828838490484	2.424317611893421	0.3591877665575998	6	15	28	1	6
30000	-2784.33202664712	-2633.1812003505343	-151.15082629658576	-2633.1812003505343	33.1901779400936	0.001754643585723498	-139.79665343680722	1.2308013759359153	2.2384916268999695	7.540757173197583	4.969018937771134	3.2951299151926947	3	12	23	14	4
40000	-2810.02292768812	-2648.654415897813	-161.36851179030677	-2648.654415897813	32.057498293603615	0.001359552269569102	-149.27555061369708	3.06518449119902	8.953404645155064	6.598375270541913	1.5892826866505525	2.2437132809108356	14	26	10	2	4
50000	-2795.244118601451	-2640.6930655138462	-154.55105308760517	-2640.6930655138462	29.532205187637704	0.001913170536110367	-141.85520822976042	4.523676150157497	4.361982040959582	6.9597483403117115	7.153288373030727	5.07126043119293	11	21	1	6	17
60000	-2778.5782966381094	-2636.017337045692	-142.56095959241733	-2636.017337045692	32.246798448782656	0.001528707702720786	-132.1998068297971	1.2777723723995238	1.813145965310984	4.599575490540289	6.908992263617894	2.481634568934855	6	2	16	23	9
70000	-2787.303674978987	-2637.7768599263254	-149.52681505266193	-2637.7768599263254	30.2590858784004	0.0017395579361078088	-138.52665337765075	1.2106348053459504	1.223702116690688	3.8597038215370207	8.093995693196629	5.76545879678871	2	1	32	7	14
80000	-2786.9868165305807	-2634.234897869216	-152.75191866136447	-2634.234897869216	34.472027925751576	0.0019903472138106844	-140.1011153740548	3.41815445473229	2.741072990846802	6.469166037103647	4.758545739723176	8.849412031889054	10	3	30	8	5
90000	-2797.6552086856627	-2646.358182190378	-151.2970264952847	-2646.358182190378	31.609353778794954	0.0019509662174033583	-140.31131135946742	1.7808081129660283	6.443189569897892	3.3988860030371186	2.2545947637658643	2.5322765844419024	5	33	6	2	10
100000	-2779.9146207624626	-2633.086858882	-146.82776188046256	-2633.086858882	31.25974960127528	0.0021375876869692326	-134.3096073164222	2.929140431961231	6.244906426504652	7.426027486187792	2.377194070179359	4.813379700480238	6	30	3	16	1
110000	-2807.5780741856106	-2641.718628519298	-165.85944566631255	-2641.718628519298	32.09118127491504	0.0015544592678806604	-152.83616973671096	3.9744459259207696	5.248111976130757	8.497440514660285	3.292063417279954	6.410743326843198	6	15	23	11	1
120000	-2824.671257926292	-2643.8466695855213	-180.82458834077087	-2643.8466695855213	34.31778344435971	0.0012415910540849884	-165.7797993348047	2.526638761533215	2.1016754944299416	9.320806995738888	13.431206761654032	12.231860754755855	10	5	1	19	21
130000	-2786.7435428981753	-2637.288336275946	-149.45520662222884	-2637.288336275946	31.93677948021253	0.0018695005744061397	-138.71995317649112	2.919679840474645	3.158409724311877	3.8652306251270203	5.831733885289047	2.9892177407433858	6	5	24	11	10
140000	-2791.589894113352	-2631.653216569308	-159.93667754404416	-2631.653216569308	34.06496846129904	0.0017816057981315664	-144.44031681992314	3.3019535905444934	7.78661815078656	5.104682208416618	16.91700169169299	4.545178506707583	5	16	14	3	18
150000	-2821.117827218809	-2641.9865848160866	-179.13124240272245	-2641.9865848160866	38.492058546214295	0.0011604876513072776	-161.0134512453481	2.2438701820210265	10.625028550479389	11.869653963615184	27.71676574545258	4.29003490638613	8	18	11	3	16
160000	-2801.713938759537	-2639.2194715904966	-162.49446716904052	-2639.2194715904966	34.36564169572507	0.001826651694429288	-150.34664815472405	6.1380529913329465	8.296326580316574	6.868168676401847	2.3972952274082906	2.5728482388102623	28	9	6	7	6
170000	-2793.8005343126197	-2639.014745895431	-154.78578841718834	-2639.014745895431	31.874441599345715	0.001793148646354584	-142.38427182324173	2.6403536021710696	6.449547412859121	8.269215476462934	5.337122247288308	2.338790900384247	14	20	7	2	13
180000	-2800.0812705546145	-2638.5931698694194	-161.48810068519512	-2638.5931698694194	33.18860229647974	0.0017368472741607346	-148.70186737611567	12.48499287477577	5.38760393661455	7.5123621257160655	2.2961506010550647	2.465465917983345	5	19	25	2	5
190000	-2817.2252690304317	-2645.892264154807	-171.33300487562485	-2645.892264154807	35.69132951487214	0.0018197635412620196	-153.81860154941327	2.0854873356599533	10.341842242475634	23.31076865580748	7.389894352173923	7.605480490474865	7	28	6	4	11
200000	-2804.9402317762692	-2637.7844714758858	-167.15576030038352	-2637.7844714758858	37.10777284528378	0.0013448216564508333	-152.97251745290708	3.3724828645229623	9.074001435613472	3.1193118540163196	7.7135675232916725	6.623885582499734	13	13	9	13	8
210000	-2781.2198800313345	-2642.8867158348557	-138.33316419647852	-2642.8867158348557	31.386531181565704	0.0020091522605924905	-128.1453049474833	0.8998420656729811	2.0842474805517113	3.5056661471147863	1.3849597527156936	5.112149372725777	1	5	2	6	42
220000	-2800.4754944909455	-2634.226384778608	-166.24910971233734	-2634.226384778608	37.09286995722511	0.0013886073207663404	-151.32406285163583	1.0888387014969736	2.412618120802973	6.36777486220752	9.853145127872294	32.83649545595675	6	2	45	1	2
230000	-2813.8814603923265	-2641.399288139304	-172.48217225302253	-2641.399288139304	35.251193884857535	0.001623925718727378	-159.87445409492628	4.039273779401263	4.599669176330237	5.160584742129141	8.806989330252167	4.454023040062852	17	4	1	22	12
240000	-2788.7958797567853	-2631.785033676063	-157.01084608072256	-2631.785033676063	31.49275134077799	0.0017064134126661245	-145.42103667660902	2.483200445465695	3.7053967795941127	7.492302577957739	4.573393604958545	3.6687548791223548	3	17	22	7	7
250000	-2809.6011176398497	-2630.4165475103823	-179.18457012946743	-2630.4165475103823	35.555629176007436	0.0014585560265668479	-166.68209687408282	5.112001971566331	5.674076466576025	5.020654049516742	6.913723277606996	4.040834325037369	15	8	11	3	19
