#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI">
#                    <trait id="dateTrait.t:GI" spec="beast.evolution.tree.TraitSet" traitname="date">
#                AB436383.1_Sapovirus_Nagano18-4_JPN_GI.1_2004=2004.0,
#X86560/Manchester/GI.1_1995=1995.0,
#Tokyo/08/3992/AB622439.1_GI.1_2008=2008.0,
#Tokyo/08-3677/AB622437_GI.1_2008=2008.0,
#Tokyo/08-2932/AB622436_GI.1_2008=2008.0,
#Tokyo/08-1337/AB622432_GI.1_2008=2008.0,
#Sapporo/MT-2010/HM0026171982_GI.1_2010=2010.0,
#NongKhai-50/Thailand_AY646853.2_GI.1_2002=2002.0,
#Nagano18-9/Jun2004_AB436384_GI.1_2004=2004.0,
#Maizuru/2008_HM030921.1_GI.1_2008=2008.0,
#Maizuru/2008/_HM030922__GI.1_2008=2008.0,
#Lyon/30388/98/F_AJ251991__GI.1_1998=1998.0,
#Houston/86_U95643_GI.1_1986=1986.0,
#HM030920.1_Maizuru/GI.1_2008=2008.0,
#U95643_Houston_USA_GI.1_1986=1986.0,
#Manchester_GI.1_1995=1995.0,
#HM002617_Sapporo_GI.1_1982=1982.0,
#AY646853_NongKhai_50_Thailand_GI.1_2002=2002.0,
#AY237423_N21_Thailand_GI.1_2002=2002.0,
#Ehime_742S/AB448762_GI.1_2007=2007.0,
#AY237422_Mc114_GI.1_2001=2001.0,
#Chiba/010250/2001_AJ606695_GI.1_2001=2001.0,
#sapo_U65427_GI.1_1982=1982.0,
#MG012439.1_Sapovirus_PE_Lima1863_GI.1_2016=2016.0,
#MG012438.1_Sapovirus_Nashville9478_GI.1_2014=2014.0,
#MG012437.1_Sapovirus_Nashville9432_GI.1_2014=2014.0,
#MG012436.1_Sapovirus_Lima1870_GI.1_2016=2016.0,
#KX980412.1_Sapoviru_GI/Hunan/CHN_GI.1_2016=2016.0,
#AY237423.2_Sapovirus_N21_GI.1_2002=2002.0,
#AY237422.3_Sapovirus_Mc114_GI.1_2003=2003.0,
#AY646854.2_Chanthaburi-74_Thailand_GI.1_2002=2002.0,
#KT327081.1_Sapovirus_Zhejiang1/CHN_GI.1_2014=2014.0,
#KP298674.1_Sapovirus/Seoul/ROK62_KOR_GI.1_2013=2013.0,
#MG012400.1_Sapovirus_US/Nashville9491_GI.1_2014=2014.0,
#MG012399.2_Sapovirus_US/Portland3639_GI.1_2014=2014.0,
#MG012398.1_Sapovirus_PE/Lima1845_GI.1_2014=2014.0,
#MG012397.1_Sapovirus_US_Nashville9427_GI.1_2014=2014.0,
#MG012435.1_Sapovirus_US_Nashville9691-1_GI.1_2013=2013.0,
#19_peru_SP088X_GI.1_2017=2017.0,
#1_peru_SP031X_GI.1_2017=2017.0,
#9_peru_SP0051X_GI.1_2017=2017.0,
#s64_02_miyagi_outbr_GI.1_2013K9_2013=2013.0,
#s65_03_miyagi_outbr_GI.1_2013K9_2013=2013.0,
#s90_5_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#s84_11_miyagi_outbr_GI.1_2016K111_2016=2016.0,
#s82_09_miyagi_outbr_GI.1_2016K111_2016=2016.0,
#s93_08_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#s92_07_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#s91_06_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#MN794206.1_Sapovirus_GI.1_isolate_C117_1978=1978.0,
#MN794207.1_Sapovirus_GI.1_isolate_C130_1978=1978.0,
#MN794208.1_Sapovirus_GI.1_isolate_HK37_1977=1977.0,
#MN794209.1_Sapovirus_GI.1_isolate_KL43_1978=1978.0,
#MN794210.1_Sapovirus_GI.1_isolate_T053_1976=1976.0,
#HM030923.1_GI.1/8894/Osaka_2009=2009.0,
#MH477427.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2013-L013/CHN_2013=2013.0,
#MH477428.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2013-L030/CHN_2013=2013.0,
#MH477429.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2014-L078/CHN_2014=2014.0,
#MH477433.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2015-L333/CHN_2015=2015.0,
#MH477436.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2015-L454/CHN_2015=2015.0                
#                                    <taxa id="TaxonSet.GI1_VP1_AA_inframe_n60" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI1_VP1_AA_inframe_n60"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI" jeffreys="true" parameter="@bPopSizes.t:GI" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.1_vp1" name="distribution">
#            <parameter id="clockRate.c:GI.1_vp1" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GI1_VP1_AA_inframe_n60" id="treeLikelihood.GI1_VP1_AA_inframe_n60" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI">
#            <siteModel gammaCategoryCount="5" id="SiteModel.s:GI.1.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.1.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GI.1.model" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.1.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.1.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.1_vp1" id="StrictClock.c:GI.1_vp1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-8286.381148919227	-7902.025472930309	-384.3556759889186	-7902.025472930309	41.48621843694135	1.0	1.0	-350.6548197253165	380.0	380.0	380.0	380.0	380.0	12	12	12	12	11	
10000	-2370.436989075546	-2245.2142493740166	-125.22273970152936	-2245.2142493740166	47.87871938033464	0.001443376838913075	1.0	-114.08130832054412	9.917616899015837	1.2191396906039647	1.3917111119320675	3.32751707319825	3.8814417209163308	2	12	3	36	6	
20000	-2394.3058597060785	-2233.6612603116655	-160.64459939441304	-2233.6612603116655	54.98568665244082	9.107160169055632E-4	1.0	-146.99786292393793	8.064883578249043	7.914675266520691	4.98684277636894	5.226493130979789	7.750516709376021	1	4	10	35	9	
30000	-2387.0151980173528	-2222.4545379109427	-164.56066010641018	-2222.4545379109427	49.874785355241364	7.028524555160385E-4	1.0	-149.27829700206252	22.67670081062092	2.2229088152959986	6.115534847974566	7.044658831753895	3.358000526595537	1	16	8	32	2	
40000	-2394.299679604387	-2190.3829309222447	-203.9167486821424	-2190.3829309222447	57.23935081355702	4.850879705878243E-4	1.0	-186.79204726453713	24.188673643119476	8.37965724124523	16.966130458728887	10.684988318323805	4.553658318640241	7	19	2	28	3	
50000	-2388.5562594100084	-2189.267920755598	-199.28833865441018	-2189.267920755598	72.8514820289136	5.260083997762234E-4	1.0	-181.1049319792543	3.517299961563092	14.472617699990673	11.82520862316407	21.563316434068913	15.078360065469429	16	19	19	2	3	
60000	-2376.020354458537	-2177.239310157013	-198.78104430152416	-2177.239310157013	52.736397682868756	6.585187449831624E-4	1.0	-183.16167426097476	12.933563166747371	8.41840663984263	5.583144051228691	8.16913729241383	14.474902985066882	22	24	3	3	7	
70000	-2348.761866440839	-2184.7006910689356	-164.06117537190374	-2184.7006910689356	52.40863113390749	6.600420040451302E-4	1.0	-152.5495116340441	7.3238222316707695	4.757503980712212	4.369957894815195	3.0843228741731714	3.3762718056728716	9	28	12	1	9	
80000	-2379.4147141146923	-2182.2194478142956	-197.19526630039675	-2182.2194478142956	55.569947218350904	4.954554844495416E-4	1.0	-181.5339129597944	12.421737025120114	12.215475242565082	6.592152349041314	6.047247507902872	12.057482692923854	21	7	19	4	8	
90000	-2395.262661716508	-2170.905780267092	-224.3568814494162	-2170.905780267092	63.494977837878245	4.277399494747838E-4	1.0	-208.6443635750326	13.589760984726968	7.345151338925855	7.642966929617686	11.692745263915747	10.478831861790287	19	13	7	8	12	
100000	-2397.311704490752	-2181.406696323058	-215.90500816769432	-2181.406696323058	58.919572085718954	5.213276772104802E-4	1.0	-198.90527207215507	13.151425786750087	8.174508647642671	23.950742827719488	7.825156616108992	4.961888572686979	13	11	7	14	14	
110000	-2388.40617685499	-2177.9749366251162	-210.43124022987388	-2177.9749366251162	77.64457054668057	5.209089149408553E-4	1.0	-193.81812986539495	19.66417737044407	10.22918918000333	9.940320577554472	5.331445449990652	12.43157844139438	6	2	7	23	21	
120000	-2371.209310165504	-2171.688687729117	-199.52062243638684	-2171.688687729117	60.55728249902529	4.423895317589769E-4	1.0	-184.77039357348832	3.3814206560646234	10.546962705359654	7.021927985627881	8.817045387774279	6.979224575703609	8	14	16	17	4	
130000	-2395.7891771774957	-2177.9811234544895	-217.80805372300597	-2177.9811234544895	68.21553759920143	4.245791275629973E-4	1.0	-203.4453121194322	5.264279191016498	10.701728893672042	5.854286297676088	8.804561101136438	5.671159160318116	2	36	1	19	1	
140000	-2395.4669556125555	-2177.468458302356	-217.99849731019958	-2177.468458302356	63.33728652651408	4.808364087956415E-4	1.0	-199.59767134664597	29.025422851024718	9.113161375537837	7.419836532750068	12.296234813933115	26.50994656648216	6	46	3	3	1	
150000	-2380.837397780357	-2180.3801386212995	-200.45725915905777	-2180.3801386212995	56.61026176223511	5.30388586309276E-4	1.0	-182.22913418232602	146.58129441470723	9.918079596177215	3.731979514629119	4.739373573704693	6.501865263135479	2	35	8	12	2	
160000	-2373.797747592798	-2174.160718858904	-199.63702873389377	-2174.160718858904	57.69793316174686	6.148023373309867E-4	1.0	-183.3516578994793	11.419758073068664	10.452493348974476	6.800374014379036	11.174229902340196	17.07619446342396	6	31	5	16	1	
170000	-2373.9250422923446	-2177.988768288258	-195.93627400408667	-2177.988768288258	58.359875970849835	5.517051350487044E-4	1.0	-180.01688626760716	16.135787311989727	8.458117368754714	7.7980954367405255	9.608687160042935	11.792754373751366	4	13	13	25	4	
180000	-2395.188638995055	-2183.9950362808854	-211.19360271416954	-2183.9950362808854	65.01694199639233	6.47005610272969E-4	1.0	-194.39435998893114	20.60559850022096	3.18880115043329	6.063443081635505	13.878886777423691	11.250865447298887	13	3	16	26	1	
190000	-2374.373684454651	-2177.7844475576358	-196.58923689701552	-2177.7844475576358	52.58141831489956	6.041581928427306E-4	1.0	-178.1371855535906	95.22425149571578	17.08670461536426	7.144479844629378	5.651940493599269	7.993443756564731	3	7	30	18	1	
200000	-2369.664733901199	-2184.377358304276	-185.2873755969224	-2184.377358304276	57.65965041907232	5.019363961892366E-4	1.0	-172.46246386390771	7.667773110658102	5.60461663442723	8.550553906557848	4.836254401690226	2.3357488083586686	5	21	31	1	1	
210000	-2361.896267036302	-2174.386473870523	-187.50979316577926	-2174.386473870523	55.039177485727855	7.243850236065838E-4	1.0	-170.61426271260473	3.633524756091456	15.487907289404339	5.165722897785181	10.600630002768739	9.794573997130893	3	19	25	7	5	
220000	-2384.945134980063	-2178.7626414378765	-206.18249354218634	-2178.7626414378765	62.378653448719476	4.6127287010534523E-4	1.0	-189.6709268027472	15.46833308516755	9.356921303029626	7.787838186134393	7.750570366240031	17.55581931293019	7	22	14	9	7	
230000	-2373.0560517813014	-2171.7621660000964	-201.29388578120498	-2171.7621660000964	57.20776028434583	5.678256679025975E-4	1.0	-186.56031245690323	8.955844868191038	8.137611613223667	5.948883485469595	8.757140545267175	10.40045113474868	5	16	17	18	3	
240000	-2425.31800538848	-2184.8250354233587	-240.492969965121	-2184.8250354233587	87.84201175162055	3.0527006222074E-4	1.0	-220.30105632825186	30.169968191564717	13.106563520881052	13.642357113395663	19.865454205857343	45.1239992923369	14	9	21	6	9	
250000	-2410.9662054818727	-2171.080511587028	-239.88569389484474	-2171.080511587028	72.26264662094562	3.6344683239380516E-4	1.0	-221.97375559908667	10.586634091440304	16.318788928912117	18.057090011267096	21.674586768371775	12.624311030525892	6	12	23	16	2	
260000	-2402.1071707304345	-2175.6610153664424	-226.44615536399237	-2175.6610153664424	64.45791029744093	3.6108172572112135E-4	1.0	-208.88856216704755	23.865727075244788	8.98974985662026	16.876464160726673	14.683329839309785	5.5790733050786265	2	7	34	12	4	
