#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI.1_poly_n23_tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI.1_poly_n23_tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI.1_poly_n23_tree">
#                    <trait id="dateTrait.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="Chanthaburi-74/Thailand_AY646854_2002=2002,G1/Zhejiang1/China_KT327081_2014=2014,GI.1/Lima1863_MG012439_2016=2016,GI.1/Nashville9432_MG012437_2014=2014,GI.1/Nashville9478_MG012438_2014=2014,GI.1/Nashville9491_2014=2014,GI.1/Nashville9691-1_MG012435_2013=2013,GI.1/Nashville9691-1_ORF1_MG012435_2013=2013,GI.1/Seoul/ROK62_KP298674_2013=2013,GI/Hunan/China_KX980412.1_2016=2016,GI/Sapporo/MT-2010_HM002617_1982=1982,Hu/PE/2014/GI.1/Lima1845_MG012398_2014=2014,Hu/PE/2016/GI.1/Lima1870_2016=2016,Hu/US/2014/GI.1/Nashville9427_MG012497_2014=2014,Hu/US/2014/GI.1/Portland3639_MG012399_2014=2014,MG012399_Hu/US/2014/GI.1/Portland3639_2014=2014,MK111628_Hu/Guangzhou/GZ2013-L013/CHN_2013=2013,MK111629__Hu/Guangzhou/GZ2013-L030/CHN_2013=2013,MK111630_Hu/Guangzhou/GZ2014-L078/CHN_2014=2014,Sapovirus_Hu/Dresden/pJG-Sap01_KP298674_2013=2013,Sapovirus_Mc114_AY237422_2001=2001,Sapovirus_N21_AY237423_2002=2002,Sapovirus_NongKhai-50/Thailand_AY646853_2002=2002">
#                        <taxa id="TaxonSet.GI1_aa_n23" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI1_aa_n23"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI.1_poly_n23_tree" jeffreys="true" parameter="@bPopSizes.t:GI.1_poly_n23_tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.1_poly_n23.clock" name="distribution">
#            <parameter id="clockRate.c:GI.1_poly_n23.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:GI.1_poly_n23.model" name="distribution">
#            <parameter id="gammaShape.s:GI.1_poly_n23.model" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@GI1_aa_n23" id="treeLikelihood.GI1_aa_n23" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI.1_poly_n23_tree">
#            <siteModel gammaCategoryCount="5" id="SiteModel.s:GI.1_poly_n23.model" shape="@gammaShape.s:GI.1_poly_n23.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.1_poly_n23.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.1_poly_n23.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.1_poly_n23.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.1_poly_n23.clock" id="StrictClock.c:GI.1_poly_n23.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-5851.771417766652	-5686.341166839962	-165.43025092669	-5686.341166839962	35.433618444920235	1.0	1.0	1.0	-130.72939466308785	380.0	380.0	380.0	380.0	380.0	5	5	4	4	4
10000	-2146.3290561921567	-2058.3590086480694	-87.97004754408708	-2058.3590086480694	34.458104439316195	6.068198995746074E-4	1.0	1.0099989587273408	-71.19375677406308	15.983310111746716	3.219000225549775	3.283064265041659	10.397805129289404	11.805207662680813	2	1	3	2	14
20000	-2176.46907816961	-2049.327288425563	-127.14178974404709	-2049.327288425563	53.56916514268461	1.856024861066317E-4	1.0	0.3983993196968126	-102.55055562950011	106.53499082240539	42.18156087691357	26.838905053786334	63.85709603654156	16.342242160583694	1	1	11	5	4
30000	-2212.2993351760074	-2051.872424264337	-160.4269109116703	-2051.872424264337	92.06035560830162	8.661601694290018E-5	1.0	0.2245589737856536	-132.61577858473976	663.7468485952496	165.38327681895984	310.03623999349884	4.166915059998724	0.7558020676654388	6	12	1	2	1
40000	-2170.414697549066	-2053.4477131107087	-116.9669844383574	-2053.4477131107087	47.425996807639194	2.237449781670981E-4	1.0	0.4503273691180569	-92.62576297603798	9.17637366458463	54.86694058234664	51.93543117285577	37.100547941975215	9.238163300004585	4	3	9	4	2
50000	-2160.1289164091045	-2061.111166451823	-99.01774995728161	-2061.111166451823	34.27245397270237	5.315008369992801E-4	1.0	0.512339535065131	-83.24112358318688	17.177942792049553	17.122474235944537	13.074968107673397	5.070396109270473	1.9994833716377103	11	4	1	3	3
60000	-2175.3988138758896	-2055.754351753001	-119.64446212288854	-2055.754351753001	47.72608536983876	2.3186284425707722E-4	1.0	0.5483157838876602	-96.78288039032032	86.88810573557882	33.76292480644844	27.751059616346584	41.43047740399755	4.719683774034413	1	8	5	7	1
70000	-2154.7421709101554	-2053.0886768554315	-101.6534940547239	-2053.0886768554315	34.18592150658054	3.861004297293616E-4	1.0	1.1041991582057678	-82.98795076433389	35.42330296440957	28.402821060643696	22.351110815102636	7.269886018812755	0.5488498534662751	2	3	12	4	1
80000	-2166.861594086517	-2057.7917060139525	-109.06988807256428	-2057.7917060139525	44.74169689063231	1.869616674414403E-4	1.0	1.0794063935342715	-88.65693690194993	59.10446865157459	9.365573649031905	10.64664109653018	18.430696996348622	11.652965420067453	4	5	5	3	5
90000	-2162.018703717045	-2052.193465919344	-109.8252377977008	-2052.193465919344	35.2039933342079	3.170823842300397E-4	1.0	0.21346482287552418	-87.07514170688304	34.680968222934005	71.27741290875584	14.779540690320388	35.39984209838812	9.201920716153051	3	2	9	4	4
100000	-2159.381833326512	-2059.5135064442507	-99.86832688226143	-2059.5135064442507	34.09175035392841	6.050785637856486E-4	1.0	0.12520313724581833	-80.43479168784393	23.03516098319469	7.683877071554841	27.290059446912522	16.954083833431955	5.962856027732131	2	12	2	2	4
110000	-2167.8544107787875	-2055.0122072955082	-112.84220348327906	-2055.0122072955082	38.75945693387035	3.331468067788405E-4	1.0	0.2685739628542758	-91.22137064363962	91.54421630756741	82.13712099012868	26.418014687523044	16.007352633298606	0.6135895157846354	2	4	2	13	1
120000	-2163.7610644345696	-2048.164611409028	-115.5964530255413	-2048.164611409028	42.37894589156	2.81086103694023E-4	1.0	0.2685739628542758	-91.42176334335015	45.81798978371059	28.627138052735447	49.57056994781277	99.77210304729607	2.6936026131153383	5	3	3	6	5
130000	-2169.8319652665505	-2050.2741295434753	-119.55783572307521	-2050.2741295434753	37.47296289872689	2.1741516582783916E-4	1.0	0.18583111923786746	-97.27418019157497	43.05554956087479	17.421376581185697	52.76521875858509	24.857724217732777	15.700992690612384	1	6	10	1	4
140000	-2172.3230763081992	-2048.626202792362	-123.69687351583691	-2048.626202792362	46.152264375344465	1.9773897968589118E-4	1.0	0.08084202183041743	-102.3639803878736	4.780739810465832	21.842434252998824	36.76131578179617	36.58195223380969	21.5109670579979	1	2	12	6	1
150000	-2183.006215128792	-2049.5231491216177	-133.4830660071745	-2049.5231491216177	46.082756918653565	2.1896624462885847E-4	1.0	0.103635609590721	-105.52326162128907	66.72373059143422	101.37626856806743	33.76460600036343	144.53135264827156	30.400023060090987	8	1	5	2	6
160000	-2157.854265233115	-2053.61754848473	-104.23671674838506	-2053.61754848473	38.55268899175984	3.135558604519022E-4	1.0	0.08858383465973604	-84.28309254754853	16.162548322754866	49.64336678276059	9.696020460153767	17.27200085830563	3.9002024511311935	9	7	1	1	4
