#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI.2_aa_polym_n17.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI.2_aa_polym_n17.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI.2_aa_polym_n17.tree">
#                    <trait id="dateTrait.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="MG515479_Hu/GI.2/Shenzhen-22_2016=2016,MG515476_Hu/GI.2/Shenzhen-2_2016=2016,MG515477_Hu/GI.2/Shenzhen-5_2016=2016,MG515478_Hu/GI.2/Shenzhen-10_2016=2016,MH541042_Hu/DE/2015/GI.2/LeipzigP4-D_2015=2015,MH541039_Hu/DE/2015/GI.2/LeipzigP4-A_2015=2015,MG012441_Hu/US/2016/GI.2/Oakland6371_2016=2016,MF431582_Hu/GI.2/Dublin/2016/IRL_2016=2016,MG012442_Hu/US/2016/GI.2/Oakland3023_2016=2016,MG012440_Hu/US_GI.2/Nashville9411_2015=2015,MK250988_Hu/BRA/2015/GI.2/TO-90_2015=2015,MK250987_Hu/BRA/2014/GI.2/TO-89_2014=2014,MK250986_Hu/BRA/2013/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/2014/GI.2/TO-31_2014=2014,MK250985_BRA/TO-66_2015=2015,MK250983_Hu/BRA/2015/GI.2/TO-65_2015=2015,AB623037_Sapovirus_Hu/OH08021/2008/JP_2008=2008">
#                        <taxa id="TaxonSet.GI2_aa_n17" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI2_aa_n17"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI.2_aa_polym_n17.tree" jeffreys="true" parameter="@bPopSizes.t:GI.2_aa_polym_n17.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.2_aa_polym_n17.clock" name="distribution">
#            <parameter id="clockRate.c:GI.2_aa_polym_n17.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:GI.2_aa_polym_n17.model" name="distribution">
#            <parameter id="gammaShape.s:GI.2_aa_polym_n17.model" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@GI2_aa_n17" id="treeLikelihood.GI2_aa_n17" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI.2_aa_polym_n17.tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:GI.2_aa_polym_n17.model" shape="@gammaShape.s:GI.2_aa_polym_n17.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.2_aa_polym_n17.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.2_aa_polym_n17.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.2_aa_polym_n17.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.2_aa_polym_n17.clock" id="StrictClock.c:GI.2_aa_polym_n17.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-4902.106376842467	-4772.310216985054	-129.7961598574136	-4772.310216985054	9.485892236084382	1.0	1.0	1.0	-95.09530359381147	380.0	380.0	380.0	380.0	380.0	4	3	3	3	3
10000	-2439.328944990994	-2398.28259727012	-41.04634772087424	-2398.28259727012	66.24538124875339	0.002014598952898064	1.0	0.7616710406945973	-24.76285884695309	1.2153293615461769	1.6568389184507826	1.3781836401544547	3.6579414119185136	29.848562385309222	10	3	1	1	1
20000	-2461.734114104915	-2395.978849611906	-65.75526449300911	-2395.978849611906	166.57770667555445	8.478868197044838E-4	1.0	0.7817253396508116	-42.92148732377349	25.297925955535266	2.264257757744327	2.9888395587298757	13.746520017464844	69.40471578848386	1	8	4	2	1
30000	-2466.040973139345	-2397.1592483796603	-68.88172475968489	-2397.1592483796603	178.75349238000047	6.654873138459872E-4	1.0	0.7026967663685444	-47.61548833774292	3.7734364859594915	4.670780576388596	17.960606628847735	15.48329423342884	74.21316235574925	4	8	2	1	1
40000	-2448.760787583042	-2395.646318027461	-53.114469555581195	-2395.646318027461	115.84377298289523	0.001263180443936877	1.0	0.2834261309110594	-39.025627410056046	2.8043668991766872	2.7052324410400743	1.9654342005285605	3.2739719443645483	18.10244394179894	3	4	4	1	4
50000	-2435.175270065073	-2395.657456788138	-39.517813276935186	-2395.657456788138	87.38285907764792	0.0017609798369757862	1.0	0.4539432930290822	-28.12878099129979	1.236836822844121	0.9455620838222728	1.429755686964333	2.962583463324481	14.142557395828298	1	11	1	2	1
60000	-2436.8076480036843	-2394.4519170898866	-42.355730913797665	-2394.4519170898866	114.65920683407955	0.0013554328380686483	1.0	0.37688291459862494	-27.557353707820056	1.4501631760979066	1.0692680615644168	4.663824162008179	7.14361409877448	24.819520526891452	3	7	4	1	1
70000	-2442.548221252556	-2393.9292990694125	-48.61892218314339	-2393.9292990694125	96.15335899363095	0.0013326900291478784	1.0	0.35808863591686496	-32.4278246202191	10.10261535129845	1.7112321400218957	1.390895518512687	2.3145753044563717	15.865844334279563	3	3	3	5	2
80000	-2443.234657156545	-2391.3417774456893	-51.89287971085577	-2391.3417774456893	155.11482499239352	8.965186520602286E-4	1.0	0.4282518005310904	-33.576372899398265	1.7238683244437447	1.5062999716250571	3.95980314075545	15.07952588947816	75.2341093686352	1	11	2	1	1
90000	-2442.16365591638	-2395.5594103322283	-46.60424558415177	-2395.5594103322283	107.5333819627592	0.001128188565609914	1.0	0.18483146491683233	-31.629007502550998	0.8422218382906778	1.3073052403176928	2.538357849603801	12.739591910871365	36.65073890021506	6	3	4	1	2
100000	-2432.457103201365	-2400.226880510346	-32.230222691019065	-2400.226880510346	56.36455390088015	0.002534661946522366	1.0	0.19267913596968664	-23.893361519012345	0.7316047352441479	0.9959068179125706	1.9766065453616397	2.2937269414786536	6.319959112328622	3	8	1	3	1
110000	-2438.0749668813805	-2395.170481945962	-42.904484935418544	-2395.170481945962	81.79193519548335	0.0016881819994775669	1.0	0.46828608674210453	-30.964828207467708	1.3556458298980627	1.2825065593695735	1.210978696252328	3.7027188786497423	15.424047445055047	2	4	7	2	1
120000	-2451.424608953482	-2393.18864673473	-58.23596221875215	-2393.18864673473	115.77042051759227	0.001258457365148981	1.0	0.3314298046587527	-41.69812785997523	8.241280301907777	2.9060070641795672	5.815827039938075	12.819895290691457	26.29991463786549	1	2	9	2	2
130000	-2447.6667626221515	-2394.188273674013	-53.47848894813848	-2394.188273674013	113.42677430595624	0.0012627022542821692	1.0	0.25868102717109287	-37.36949219309978	2.099694662877256	2.3075785382459775	9.102400186725514	8.594747616991718	27.35742899309355	12	1	1	1	1
140000	-2446.414567482951	-2395.224275104781	-51.190292378169936	-2395.224275104781	67.10532552031893	0.001747804444440049	1.0	1.8914538278756654	-32.04438902014737	3.9981076842796064	2.163812940733153	9.271880844252829	25.211765240020707	17.932915403664357	2	11	1	1	1
150000	-2447.428143824399	-2400.927593391139	-46.50055043325985	-2400.927593391139	89.77326054161482	0.0012512534162050204	1.0	1.2873078222987817	-31.075073394796334	1.208670022428252	2.0963178601288806	6.646973995558929	15.446998156968528	17.891779571822415	10	2	1	2	1
